Timestamp (HH-MM-SS),Time (s),J-2 (center) Thermocouple (°C),TSic AIN0 (°C)
18-19-27,2999.0,17.02449951171875,17.153995156288147
18-19-29,3000.0,17.024249267578124,17.155601918697357
18-19-30,3001.0,17.0218994140625,17.15415120124817
18-19-31,3002.0,17.029693603515625,17.153736472129822
18-19-32,3003.1,17.022113037109374,17.15254443883896
18-19-33,3004.1,17.018994140625,17.152889907360077
18-19-34,3005.1,17.0183349609375,17.151369512081146
18-19-35,3006.1,17.01676025390625,17.15114462375641
18-19-36,3007.1,17.0154296875,17.150989413261414
18-19-37,3008.1,17.015283203125,17.150903046131134
18-19-38,3009.2,17.01214599609375,17.152025818824768
18-19-39,3010.2,17.00767822265625,17.15349406003952
18-19-40,3011.2,17.011328125,17.15446162223816
18-19-41,3012.2,17.0015380859375,17.156050443649292
18-19-42,3013.2,16.99669189453125,17.157086849212646
18-19-43,3014.3,16.995263671875,17.15693163871765
18-19-44,3015.3,16.9913330078125,17.155964493751526
18-19-45,3016.3,16.98572998046875,17.15629243850708
18-19-46,3017.3,16.98291015625,17.14848518371582
18-19-47,3018.3,16.990057373046874,17.148710072040558
18-19-48,3019.4,16.98702392578125,17.147414565086365
18-19-49,3020.4,16.99305419921875,17.148416340351105
18-19-50,3021.4,16.992620849609374,17.14907306432724
18-19-51,3022.4,16.99908447265625,17.14962589740753
18-19-52,3023.4,16.99342041015625,17.148571968078613
18-19-53,3024.4,17.002166748046875,17.150212943553925
18-19-54,3025.5,16.993896484375,17.142492055892944
18-19-55,3026.5,16.992364501953126,17.14002162218094
18-19-56,3027.5,16.984173583984376,17.147448778152466
18-19-57,3028.5,16.984368896484376,17.140574038028717
18-19-58,3029.5,16.976544189453126,17.139641106128693
18-19-59,3030.5,16.97921142578125,17.148363769054413
18-20-00,3031.6,16.991497802734376,17.142041862010956
18-20-01,3032.6,16.999755859375,17.140608251094818
18-20-02,3033.6,17.004217529296874,17.140729248523712
18-20-03,3034.6,17.00609130859375,17.13544374704361
18-20-04,3035.6,17.00902099609375,17.134200394153595
18-20-05,3036.6,17.004315185546876,17.135755002498627
18-20-06,3037.7,17.00789794921875,17.13606584072113
18-20-07,3038.7,17.01055908203125,17.14530712366104
18-20-08,3039.7,17.01065673828125,17.15064436197281
18-20-09,3040.7,17.012335205078124,17.143026530742645
18-20-10,3041.7,17.01229248046875,17.14281916618347
18-20-11,3042.8,17.014276123046876,17.143510103225708
18-20-12,3043.8,17.012579345703124,17.14009004831314
18-20-13,3044.8,17.02352294921875,17.140038311481476
18-20-14,3045.8,17.02918701171875,17.13898479938507
18-20-15,3046.8,17.030224609375,17.148191452026367
